// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     80026070      8  SYS_OBJ_110
main     80026078     44  CdIntstr
main     800260A4      8  SYS_OBJ_144
main     800260AC     32  CdSync
main     800260CC     32  CdReady
main     800260EC     24  CdSyncCallback
main     80026104     24  CdReadyCallback
main     8002611C    312  CdControl
main     80026254    300  CdControlF
main     80026380    280  CdControlB
main     80026498     44  SYS_OBJ_538
main     800264C4     36  CdMix
main     800264E8     36  CdGetSector
main     8002650C     36  CdDataCallback
main     80026530     32  CdDataSync
main     80026550    260  CdIntToPos
main     80026654    128  CdPosToInt
main     800266D4    100  getintr
main     80026738    500  BIOS_OBJ_64
main     8002692C    256  BIOS_OBJ_258
main     80026A2C     76  BIOS_OBJ_358
main     80026A78    132  BIOS_OBJ_3A4
main     80026AFC    136  BIOS_OBJ_428
main     80026B84    136  BIOS_OBJ_4B0
main     80026C34     24  BIOS_OBJ_560
main     80026C4C    300  CD_sync
main     80026D78     48  BIOS_OBJ_6A4
main     80026DA8    248  BIOS_OBJ_6D4
main     80026EA0     44  BIOS_OBJ_7CC
main     80026ECC    308  CD_ready
main     80027000     48  BIOS_OBJ_92C
main     80027030    312  BIOS_OBJ_95C
main     80027168     48  BIOS_OBJ_A94
main     80027198    708  CD_cw
main     8002745C     48  BIOS_OBJ_D88
main     8002748C    292  BIOS_OBJ_DB8
main     800275B0     48  BIOS_OBJ_EDC
main     800275E0    136  CD_vol
main     80027668    224  CD_flush
main     80027748    244  CD_initvol
main     8002783C     80  CD_initintr
main     8002788C    492  CD_init
main     80027A78    284  CD_datasync
main     80027B94     80  BIOS_OBJ_14C0
main     80027BE4    256  CD_getsector
main     80027CE4     16  CD_set_test_parmnum
main     80027CF4     44  callback
main     80027D20    180  BIOS_OBJ_164C
main     80027DD4    268  CdSearchFile
main     80027EE0    416  ISO9660_OBJ_10C
main     80028080     12  ISO9660_OBJ_2AC
main     8002808C     40  ISO9660_OBJ_2B8
main     800280B4     36  _cmp
main     800280D8    692  CD_newmedia
main     8002838C     40  ISO9660_OBJ_5B8
main     800283B4    132  CD_searchdir
main     80028438     36  ISO9660_OBJ_664
main     8002845C    380  CD_cachefile
main     800285D8     28  ISO9660_OBJ_804
main     800285F4    224  ISO9660_OBJ_820
main     800286D4     44  ISO9660_OBJ_900
main     80028700    108  cd_read
main     8002876C     52  memcpy
main     800287A0    276  cb_read
main     800288B4    272  CDREAD_OBJ_114
main     800289C4    440  cd_read_retry
main     80028B7C      8  CDREAD_OBJ_3DC
main     80028B84     24  CDREAD_OBJ_3E4
main     80028B9C     96  CdRead
